accession	organism	strain	level	biosample	isolation_source
GCF_003627255.1	Lacticaseibacillus paracasei	ZFM54	Complete Genome	SAMN07305422	
GCF_046581425.1	Lacticaseibacillus paracasei	BBM398	Complete Genome	SAMN45068457	
GCF_008329845.1	Lacticaseibacillus paracasei	10266	Complete Genome	SAMN09874024	
GCF_040267725.1	Lacticaseibacillus paracasei	TCI727	Complete Genome	SAMN41829189	
GCF_057418975.1	Lacticaseibacillus paracasei	LK10	Complete Genome	SAMN41663323	
GCF_030480425.1	Lacticaseibacillus paracasei	L14	Complete Genome	SAMN33263285	
GCF_051514555.1	Lacticaseibacillus paracasei	ZFM847	Complete Genome	SAMN49943508	
GCF_013307125.1	Lacticaseibacillus paracasei	Lp02	Complete Genome	SAMN11489091	
GCF_041893825.1	Lacticaseibacillus paracasei	FMT2	Complete Genome	SAMN43472422	
GCF_014905075.1	Lacticaseibacillus paracasei	NFFJ04	Complete Genome	SAMN14444968	
GCF_044905105.1	Lacticaseibacillus paracasei	E	Complete Genome	SAMN44286705	
GCF_965286145.1	Lacticaseibacillus paracasei	HF-IBB-214	Complete Genome	SAMEA118341695	
GCF_049163355.1	Lacticaseibacillus paracasei	FD1	Complete Genome	SAMN47427496	
GCF_054209635.1	Lacticaseibacillus paracasei	UOS1	Complete Genome	SAMN52948625	
GCF_002257625.1	Lacticaseibacillus paracasei	TK1501	Complete Genome	SAMN05921089	
GCF_046581445.1	Lacticaseibacillus paracasei	BBM396	Complete Genome	SAMN45068455	
GCF_046581435.1	Lacticaseibacillus paracasei	BBM397	Complete Genome	SAMN45068456	
GCF_058135445.1	Lacticaseibacillus paracasei	OS4	Complete Genome	SAMN60056447	
GCF_003177075.1	Lacticaseibacillus paracasei	EG9	Complete Genome	SAMN09239981	
GCF_052601095.1	Lacticaseibacillus paracasei	YWC-01	Complete Genome	SAMN51023988	
GCF_001514415.1	Lacticaseibacillus paracasei	KL1	Complete Genome	SAMN04378089	
GCF_024158965.2	Lacticaseibacillus paracasei	DM001	Complete Genome	SAMN29405972	
GCF_046116425.1	Lacticaseibacillus paracasei	M115-8W-2	Complete Genome	SAMN38225291	
GCF_040536905.1	Lacticaseibacillus paracasei	z15	Complete Genome	SAMN42017790	
GCF_000019245.4	Lacticaseibacillus paracasei	Zhang	Complete Genome	SAMN02603933	
GCF_022819265.1	Lacticaseibacillus paracasei	SCB0563	Complete Genome	SAMN26885627	
GCF_030581835.1	Lacticaseibacillus paracasei	XJ-003	Complete Genome	SAMN20924980	
GCF_055699145.1	Lacticaseibacillus paracasei	RF7	Complete Genome	SAMN47121591	
GCF_049532865.1	Lacticaseibacillus paracasei	PC-01	Complete Genome	SAMN16552279	
GCF_050858965.1	Lacticaseibacillus paracasei	CLP-E2	Complete Genome	SAMN25117696	
GCF_001191565.1	Lacticaseibacillus paracasei	CAUH35	Complete Genome	SAMN03892742	
GCF_032466015.1	Lacticaseibacillus paracasei	LMG 19719	Complete Genome	SAMN37405140	
GCF_050320215.1	Lacticaseibacillus paracasei	LTH 2407	Complete Genome	SAMN41920485	
GCF_002442835.1	Lacticaseibacillus paracasei	FAM18149	Complete Genome	SAMN05781319	
GCF_009834405.1	Lacticaseibacillus paracasei	TD 062	Complete Genome	SAMN12792675	
GCF_009739485.1	Lacticaseibacillus paracasei subsp. paracasei	IBB3423	Complete Genome	SAMN07167770	
GCF_024665815.1	Lacticaseibacillus paracasei subsp. paracasei	01	Complete Genome	SAMN29862210	
GCF_002813615.1	Lacticaseibacillus paracasei subsp. paracasei	TMW 1.1434	Complete Genome	SAMN05356834	
GCF_054461285.1	Lacticaseibacillus paracasei subsp. paracasei	HP7	Complete Genome	SAMN54407972	
GCF_021650835.1	Lacticaseibacillus paracasei subsp. paracasei	GR0562	Complete Genome	SAMN25145123	
GCF_059642825.1	Lacticaseibacillus paracasei subsp. paracasei	SLpa017	Complete Genome	SAMN54409437	
GCF_002901165.3	Lacticaseibacillus paracasei subsp. paracasei	NTU 101	Complete Genome	SAMN07445234	
GCF_019175405.1	Lacticaseibacillus paracasei subsp. paracasei	GR0548	Complete Genome	SAMN18436391	
GCF_040822445.1	Lacticaseibacillus paracasei subsp. paracasei	BS2-PB5	Complete Genome	SAMN42029631	
GCF_042449115.1	Lacticaseibacillus paracasei subsp. paracasei	SMB092	Complete Genome	SAMN43834269	
GCF_025946745.1	Lacticaseibacillus paracasei subsp. tolerans	FX-6-1	Complete Genome	SAMN31308977	
GCF_025946725.1	Lacticaseibacillus paracasei subsp. tolerans	FX-6	Complete Genome	SAMN31308951	
GCF_015476155.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0625	Complete Genome	SAMN16668564	
GCF_015693945.1	Lacticaseibacillus paracasei subsp. tolerans	ZY-1	Complete Genome	SAMN16861159	
GCF_016757695.1	Lacticaseibacillus paracasei subsp. tolerans	S-NB	Complete Genome	SAMN17359333	
GCF_016757675.1	Lacticaseibacillus paracasei subsp. tolerans	S-NA5	Complete Genome	SAMN17359331	
GCF_015476195.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0761	Complete Genome	SAMN16668817	
GCF_015476135.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0734	Complete Genome	SAMN16667758	
GCF_015476175.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0747	Complete Genome	SAMN16668663	
GCF_015476075.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0245	Complete Genome	SAMN16657550	
GCF_018286435.1	Lacticaseibacillus paracasei subsp. tolerans	2A	Complete Genome	SAMN18869149	
GCF_038098635.1	Lacticaseibacillus paracasei subsp. tolerans	DS0725	Complete Genome	SAMN37388437	
GCF_003957435.1	Lacticaseibacillus paracasei subsp. tolerans	AO356	Complete Genome	SAMN08200884	
GCF_000014525.1	Lacticaseibacillus paracasei ATCC 334	ATCC 334	Complete Genome	SAMN02598528	
GCF_000582665.1	Lacticaseibacillus paracasei N1115	N1115	Complete Genome	SAMN03081525	
GCF_022588775.1	Lacticaseibacillus paracasei	BCRC-16100	Chromosome	SAMN22548461	
GCF_044339435.1	Lacticaseibacillus paracasei	M2a	Chromosome	SAMN44260661	
GCF_045257705.1	Lacticaseibacillus paracasei	MRD1299	Chromosome	SAMN44629846	
GCF_029925445.1	Lacticaseibacillus paracasei	PC-H1	Chromosome	SAMN34247084	
GCF_045271595.1	Lacticaseibacillus paracasei	MRD4401	Chromosome	SAMN44630404	
GCF_014905015.1	Lacticaseibacillus paracasei	NSMJ15	Chromosome	SAMN14142699	
GCF_058150285.1	Lacticaseibacillus paracasei	RAMULABWGS01	Chromosome	SAMN47177163	
GCF_046244395.1	Lacticaseibacillus paracasei	YEA81	Chromosome	SAMN44848955	
GCF_027886355.1	Lacticaseibacillus paracasei	NG-LCU-NJ2	Chromosome	SAMN31037894	
GCF_025757505.1	Lacticaseibacillus paracasei	NG-LCU-ST2	Chromosome	SAMN31037893	
GCF_059379515.1	Lacticaseibacillus paracasei	PB1	Chromosome	SAMN61189626	
GCF_018064185.1	Lacticaseibacillus paracasei	HM1	Chromosome	SAMN18644302	
GCF_025917475.1	Lacticaseibacillus paracasei subsp. paracasei	OLXI-3	Chromosome	SAMN20691750	
GCF_965286355.1	Lacticaseibacillus paracasei	HF-IBB-287	Chromosome	SAMEA118341697	
GCF_000388095.2	Lacticaseibacillus paracasei	LcY	Chromosome	SAMN02046319	
GCF_004354655.1	Lacticaseibacillus paracasei subsp. paracasei	ATCC 25302	Scaffold	SAMN08555498	
GCF_007989125.1	Lacticaseibacillus paracasei subsp. paracasei	NBRC 15889	Contig	SAMD00166241	
GCF_001436385.1	Lacticaseibacillus paracasei subsp. paracasei ATCC 25302 = DSM 5622 = JCM 8130	DSM 5622	Contig	SAMN02369433	
GCF_000159495.1	Lacticaseibacillus paracasei subsp. paracasei ATCC 25302 = DSM 5622 = JCM 8130	ATCC 25302	Scaffold	SAMN00001470	
GCF_057321325.1	Lacticaseibacillus paracasei	GMRMP001	Contig	SAMN57452031	
GCF_022614605.1	Lacticaseibacillus paracasei	GMNL-653	Contig	SAMN22548460	
GCF_022614635.1	Lacticaseibacillus paracasei	GMNL-855	Contig	SAMN22548462	
GCF_002762235.1	Lacticaseibacillus paracasei	Lpc-37	Contig	SAMN07339723	
GCF_028206475.1	Lacticaseibacillus paracasei	SRCM217440	Contig	SAMN32670666	
GCF_984574475.1	Lacticaseibacillus paracasei		Contig	SAMEA122378602	
GCF_004078565.1	Lacticaseibacillus paracasei	SRCM103424	Contig	SAMN10743383	
GCF_965286545.1	Lacticaseibacillus paracasei	E-97949	Contig	SAMEA118341696	
GCF_965638105.1	Lacticaseibacillus paracasei	E-97949	Contig	SAMEA118655457	
GCF_052064955.1	Lacticaseibacillus paracasei	CNCM I-1572	Contig	SAMN47854084	
GCF_042657205.1	Lacticaseibacillus paracasei	L45	Contig	SAMN43851867	
GCF_031461095.1	Lacticaseibacillus paracasei	KCKM 0992	Contig	SAMN37256209	
GCF_982235605.1	Lacticaseibacillus paracasei		Contig	SAMEA121907809	
GCF_056782275.1	Lacticaseibacillus paracasei	DA-14M-4	Contig	SAMN57172496	
GCF_047785155.1	Lacticaseibacillus paracasei	SRCM212209	Contig	SAMN46082883	
GCF_003795255.1	Lacticaseibacillus paracasei	JS1	Contig	SAMN09270688	
GCF_982235585.1	Lacticaseibacillus paracasei		Contig	SAMEA121907804	
GCF_041167765.1	Lacticaseibacillus paracasei	CHEE96	Contig	SAMN43028853	
GCF_024125225.1	Lacticaseibacillus paracasei	NB2B-AER-MRS-02	Contig	SAMN28102056	
GCF_004078555.1	Lacticaseibacillus paracasei	SRCM103410	Contig	SAMN10742272	
GCF_054850495.1	Lacticaseibacillus paracasei	SRCM221607	Contig	SAMN53074982	
GCF_003712905.1	Lacticaseibacillus paracasei	FAM3228	Contig	SAMN04088886	
GCF_003712295.1	Lacticaseibacillus paracasei	FAM18099	Contig	SAMN04088859	
GCF_036863755.1	Lacticaseibacillus paracasei	B-50314	Contig	SAMN38050102	
GCF_965213315.1	Lacticaseibacillus paracasei		Contig	SAMEA117819815	
GCF_003712355.1	Lacticaseibacillus paracasei	FAM18101	Contig	SAMN04088860	
GCF_003712345.1	Lacticaseibacillus paracasei	FAM18121	Contig	SAMN04088866	
GCF_003712225.1	Lacticaseibacillus paracasei	FAM10859	Contig	SAMN04088858	
GCF_003712485.1	Lacticaseibacillus paracasei	FAM18149	Scaffold	SAMN04088873	
GCF_039612635.1	Lacticaseibacillus paracasei	B106	Contig	SAMN41013439	
GCF_052588795.2	Lacticaseibacillus paracasei	S1	Scaffold	SAMN50018499	
GCF_050113935.1	Lacticaseibacillus paracasei	LPML01	Contig	SAMN48190442	
GCF_049191405.1	Lacticaseibacillus paracasei	IATA083	Contig	SAMN45053962	
GCF_003712755.1	Lacticaseibacillus paracasei	FAM3257	Contig	SAMN04088888	
GCF_005864195.1	Lacticaseibacillus paracasei	FAM 3257	Contig	SAMN11653942	
GCF_002148875.1	Lacticaseibacillus paracasei	DPC2071	Contig	SAMN05949321	
GCF_039871405.1	Lacticaseibacillus paracasei	OSY-31	Contig	SAMN41462736	
GCF_030418055.1	Lacticaseibacillus paracasei	PWN_T9	Scaffold	SAMN36288183	
GCF_905131355.1	Lacticaseibacillus paracasei		Contig	SAMEA7577051	
GCF_036762895.1	Lacticaseibacillus paracasei	1311_IL3157	Contig	SAMN37904766	
GCF_027661465.1	Lacticaseibacillus paracasei	AM100_PB1O_1D_16A	Scaffold	SAMN31808600	
GCF_002027415.1	Lacticaseibacillus paracasei	W14	Contig	SAMN06480069	
GCF_003712665.1	Lacticaseibacillus paracasei	FAM22277	Contig	SAMN04088882	
GCF_003712795.1	Lacticaseibacillus paracasei	FAM4067	Contig	SAMN04088889	
GCF_978042735.1	Lacticaseibacillus paracasei		Contig	SAMEA120937383	
GCF_002148885.1	Lacticaseibacillus paracasei	DPC4536	Contig	SAMN06463780	
GCF_056783055.1	Lacticaseibacillus paracasei	K10	Contig	SAMN57182071	
GCF_030360845.1	Lacticaseibacillus paracasei	TOM.1339	Contig	SAMN35776905	
GCF_008868525.1	Lacticaseibacillus paracasei	BIO5452	Contig	SAMN12856540	
GCF_040459585.1	Lacticaseibacillus paracasei	T1301	Scaffold	SAMN31372290	
GCF_040459675.1	Lacticaseibacillus paracasei	T0902	Scaffold	SAMN31372289	
GCF_037966745.1	Lacticaseibacillus paracasei	ATA-LTC-Lp040802	Scaffold	SAMN40643417	
GCF_039650495.1	Lacticaseibacillus paracasei	DDS12	Scaffold	SAMN41053268	
GCF_012241605.1	Lacticaseibacillus paracasei	DTA81	Scaffold	SAMN14517101	
GCF_965138865.1	Lacticaseibacillus paracasei	CIP109805	Scaffold	SAMEA117660480	
GCF_002849575.1	Lacticaseibacillus paracasei	DUP 13076	Contig	SAMN08239980	
GCF_040459555.1	Lacticaseibacillus paracasei	T1901	Scaffold	SAMN31372292	
GCF_025190545.1	Lacticaseibacillus paracasei	CIRM-BIA 2129	Contig	SAMN10365447	
GCF_002914885.1	Lacticaseibacillus paracasei	BP07	Contig	SAMN07187783	
GCF_031626855.1	Lacticaseibacillus paracasei	FUA3413	Contig	SAMN29421124	
GCF_026162465.1	Lacticaseibacillus paracasei	EPS DA-BACS	Contig	SAMN30865606	
GCF_025660485.1	Lacticaseibacillus paracasei	PB5	Contig	SAMN31096048	
GCF_002148805.1	Lacticaseibacillus paracasei	DPC4206	Contig	SAMN06220137	
GCF_025631055.1	Lacticaseibacillus paracasei	PB6	Contig	SAMN31096049	
GCF_040459635.1	Lacticaseibacillus paracasei	T0602	Scaffold	SAMN31372287	
GCF_051064035.1	Lacticaseibacillus paracasei	372F	Contig	SAMN49352105	
GCF_052692215.1	Lacticaseibacillus paracasei	H62	Contig	SAMN48448763	
GCF_028878315.1	Lacticaseibacillus paracasei	DSM 4905	Scaffold	SAMN23708196	
GCF_003712245.1	Lacticaseibacillus paracasei	FAM18108	Scaffold	SAMN04088862	
GCF_023656965.1	Lacticaseibacillus paracasei	ATCC 27092	Contig	SAMN11309554	
GCF_003712825.1	Lacticaseibacillus paracasei	FAM8374	Scaffold	SAMN04088896	
GCF_053749055.1	Lacticaseibacillus paracasei	PL0013	Contig	SAMN50614381	
GCF_003713005.1	Lacticaseibacillus paracasei	FAM7821	Contig	SAMN04088894	
GCF_000474615.1	Lacticaseibacillus paracasei	5b	Contig	SAMN02470054	
GCF_003712985.1	Lacticaseibacillus paracasei	FAM8140	Contig	SAMN04088895	
GCF_037283385.1	Lacticaseibacillus paracasei	NRC_P4	Contig	SAMN32629231	
GCF_002406665.1	Lacticaseibacillus paracasei	B3	Contig	SAMN07665582	
GCF_018257175.1	Lacticaseibacillus paracasei	Dm-2019-60	Scaffold	SAMN17146146	
GCF_028620355.1	Lacticaseibacillus paracasei	AD22-LP	Contig	SAMN32967350	
GCF_040459685.1	Lacticaseibacillus paracasei	T0601	Scaffold	SAMN31372286	
GCF_025190485.1	Lacticaseibacillus paracasei	CIRM-BIA 1869	Contig	SAMN10365453	
GCF_000309685.1	Lacticaseibacillus paracasei	T71499	Contig	SAMN02472001	
GCF_055597745.1	Lacticaseibacillus paracasei	E-49	Contig	SAMN55848474	
GCF_015560865.1	Lacticaseibacillus paracasei	1001095IJ_161003_H4	Scaffold	SAMN15532806	
GCF_036762765.1	Lacticaseibacillus paracasei	1567_IL3212	Contig	SAMN37904769	
GCF_049201625.1	Lacticaseibacillus paracasei	UBLPc-87	Scaffold	SAMN47217620	
GCF_015551195.1	Lacticaseibacillus paracasei	1001295B_180824_D1	Scaffold	SAMN15533266	
GCF_036762785.1	Lacticaseibacillus paracasei	1571-2_IL3211	Contig	SAMN37904772	
GCF_003712605.1	Lacticaseibacillus paracasei	FAM19353	Contig	SAMN04088879	
GCF_057379225.1	Lacticaseibacillus paracasei	UNCP-H3M04	Contig	SAMN53737803	
GCF_001981715.1	Lacticaseibacillus paracasei	RI-210	Scaffold	SAMN05717723	
GCF_040459615.1	Lacticaseibacillus paracasei	T1304	Scaffold	SAMN31372291	
GCF_054786855.1	Lacticaseibacillus paracasei	OLXI-9	Scaffold	SAMN53419071	
GCF_057180385.1	Lacticaseibacillus paracasei	YKSCTej38.1	Contig	SAMN40980856	
GCF_057379435.1	Lacticaseibacillus paracasei	UNCP-H6M16	Contig	SAMN53737934	
GCF_045800635.1	Lacticaseibacillus paracasei	FM11	Contig	SAMN45127489	
GCF_027692305.1	Lacticaseibacillus paracasei	OF45-17pH9TA	Scaffold	SAMN31809738	
GCF_027685985.1	Lacticaseibacillus paracasei	AF11-16H	Scaffold	SAMN31807819	
GCF_027685825.1	Lacticaseibacillus paracasei	AF11-6H	Scaffold	SAMN31807830	
GCF_028993835.1	Lacticaseibacillus paracasei	ARN1	Contig	SAMN33449985	
GCF_003712965.1	Lacticaseibacillus paracasei	FAM6410	Contig	SAMN04088893	
GCF_029813065.1	Lacticaseibacillus paracasei	J3703	Contig	SAMN32299550	
GCF_028322945.1	Lacticaseibacillus paracasei	1001295st1_G5_1001295H_181012	Scaffold	SAMN31322639	
GCF_037283545.1	Lacticaseibacillus paracasei	NRC_P3	Contig	SAMN32629230	
GCF_037283365.1	Lacticaseibacillus paracasei	NRC_P5	Contig	SAMN32629232	
GCF_037283435.1	Lacticaseibacillus paracasei	NRC_P6	Contig	SAMN32629233	
GCF_032290425.1	Lacticaseibacillus paracasei	ASM82903v1	Scaffold	SAMN37553482	
GCF_011031945.1	Lacticaseibacillus paracasei	VA02-1AN	Contig	SAMN14087235	
GCF_028878155.1	Lacticaseibacillus paracasei	DIALYac	Scaffold	SAMN23708207	
GCF_025190575.1	Lacticaseibacillus paracasei	CIRM-BIA 770	Contig	SAMN10365448	
GCF_025190705.1	Lacticaseibacillus paracasei	CIRM-BIA 2130	Contig	SAMN10365441	
GCF_028320445.1	Lacticaseibacillus paracasei	1001095st2_H2_1025SCRN_200924	Scaffold	SAMN31322629	
GCF_025190635.1	Lacticaseibacillus paracasei	CIRM-BIA 1444	Contig	SAMN10365444	
GCF_028321445.1	Lacticaseibacillus paracasei	1001095st2_D7_1025SCRN_200924	Scaffold	SAMN31322627	
GCF_033447265.1	Lacticaseibacillus paracasei	MCC 0258	Scaffold	SAMN38085101	
GCF_039612675.1	Lacticaseibacillus paracasei	B13	Contig	SAMN41013438	
GCF_041021545.1	Lacticaseibacillus paracasei	L45	Contig	SAMN41013437	
GCF_054570615.1	Lacticaseibacillus paracasei	LPTSRWCO1	Contig	SAMN50427573	
GCF_050247335.1	Lacticaseibacillus paracasei	ItalPN16	Contig	SAMN27056110	
GCF_011421685.1	Lacticaseibacillus paracasei	L32	Contig	SAMN10869053	
GCF_051064335.1	Lacticaseibacillus paracasei	345F	Contig	SAMN49352089	
GCF_020540265.1	Lacticaseibacillus paracasei	MSK.19.8	Contig	SAMN22165146	
GCF_038025045.1	Lacticaseibacillus paracasei	ATA-LTC-Lp121000	Scaffold	SAMN40643419	
GCF_036942455.1	Lacticaseibacillus paracasei	KLDS 74	Scaffold	SAMN39782308	
GCF_003712565.1	Lacticaseibacillus paracasei	FAM19317	Contig	SAMN04088878	
GCF_030360685.1	Lacticaseibacillus paracasei	TOM.1362	Contig	SAMN35776906	
GCF_058134255.1	Lacticaseibacillus paracasei	WU2502	Contig	SAMN60504955	
GCF_012932835.1	Lacticaseibacillus paracasei	CRF28	Scaffold	SAMN05660651	
GCF_030361365.1	Lacticaseibacillus paracasei	TOM.9	Contig	SAMN35776875	
GCF_008904885.1	Lacticaseibacillus paracasei	LactoQK	Contig	SAMN12634845	
GCF_040430295.1	Lacticaseibacillus paracasei	ATA-LTC-Lp041103	Scaffold	SAMN41784243	
GCF_030360665.1	Lacticaseibacillus paracasei	TOM.1374	Contig	SAMN35776908	
GCF_052692295.1	Lacticaseibacillus paracasei	H23	Contig	SAMN47806597	
GCF_049191845.1	Lacticaseibacillus paracasei	IATA110	Contig	SAMN45053973	
GCF_049205075.1	Lacticaseibacillus paracasei	IATA109	Contig	SAMN45053972	
GCF_028878305.1	Lacticaseibacillus paracasei	NRRL B-456	Scaffold	SAMN23708197	
GCF_024999945.1	Lacticaseibacillus paracasei	88	Contig	SAMN10365669	
GCF_034555135.1	Lacticaseibacillus paracasei	BF3	Contig	SAMN38857134	
GCF_016887785.1	Lacticaseibacillus paracasei	2306	Contig	SAMN17562096	
GCF_055180415.1	Lacticaseibacillus paracasei	FAM 26263	Scaffold	SAMN55067471	
GCF_003712785.1	Lacticaseibacillus paracasei	FAM6161	Contig	SAMN04088891	
GCF_025190565.1	Lacticaseibacillus paracasei	CIRM-BIA 2128	Contig	SAMN10365446	
GCF_003712325.1	Lacticaseibacillus paracasei	FAM18123	Scaffold	SAMN04088867	
GCF_001895185.1	Lacticaseibacillus paracasei	LC-Ikematsu	Contig	SAMD00029052	
GCF_028878355.1	Lacticaseibacillus paracasei	LMG 25883	Scaffold	SAMN23708195	
GCF_059766625.1	Lacticaseibacillus paracasei	CM-4.2	Contig	SAMN61573099	
GCF_027666665.1	Lacticaseibacillus paracasei	AM75-01pH5A	Scaffold	SAMN31809271	
GCF_045808845.1	Lacticaseibacillus paracasei	MSR2	Contig	SAMN45146297	
GCF_027680925.1	Lacticaseibacillus paracasei	AF66-2pH10A	Scaffold	SAMN31808059	
GCF_027680865.1	Lacticaseibacillus paracasei	AF67-02pH5A	Scaffold	SAMN31808061	
GCF_001540885.1	Lacticaseibacillus paracasei	Lc1542	Contig	SAMN03702539	
GCF_984568945.1	Lacticaseibacillus paracasei		Contig	SAMEA122696038	
GCF_054786835.1	Lacticaseibacillus paracasei	OLXI-6	Contig	SAMN53419070	
GCF_054786875.1	Lacticaseibacillus paracasei	OLXI-1	Contig	SAMN53419069	
GCF_003571925.1	Lacticaseibacillus paracasei	DTA83	Scaffold	SAMN09715191	
GCF_030710105.1	Lacticaseibacillus paracasei	ULE721	Contig	SAMN33658166	
GCF_030710015.1	Lacticaseibacillus paracasei	ULE721	Scaffold	SAMN33593465	
GCF_000309765.1	Lacticaseibacillus paracasei	Lc-10	Contig	SAMN02472012	
GCF_052692275.1	Lacticaseibacillus paracasei	H34	Contig	SAMN47806598	
GCF_018729425.1	Lacticaseibacillus paracasei	MYD3	Contig	SAMN16551136	
GCF_901933195.1	Lacticaseibacillus paracasei	INIA P272	Contig	SAMEA5671866	
GCF_025190765.1	Lacticaseibacillus paracasei	CIRM-BIA 1511	Contig	SAMN10365436	
GCF_008016825.1	Lacticaseibacillus paracasei	SA5	Contig	SAMN11812296	
GCF_024329385.1	Lacticaseibacillus paracasei	Kef-w17	Contig	SAMN18720970	
GCF_039566635.1	Lacticaseibacillus paracasei	A192	Contig	SAMN41162756	
GCF_002904305.1	Lacticaseibacillus paracasei	CCC B1205	Scaffold	SAMN03813856	
GCF_009996805.1	Lacticaseibacillus paracasei	D3-5	Contig	SAMN13905290	
GCF_003712535.1	Lacticaseibacillus paracasei	FAM18175	Contig	SAMN04088877	
GCF_003712645.1	Lacticaseibacillus paracasei	FAM22276	Contig	SAMN04088881	
GCF_026967275.1	Lacticaseibacillus paracasei	Lpc_yogurt_B3	Contig	SAMN32062176	
GCF_026967245.1	Lacticaseibacillus paracasei	Lpc_yogurt_B6	Contig	SAMN32062179	
GCF_039566745.1	Lacticaseibacillus paracasei	Z08	Contig	SAMN41162774	
GCF_003712935.1	Lacticaseibacillus paracasei	FAM3248	Scaffold	SAMN04088887	
GCF_026967205.1	Lacticaseibacillus paracasei	Lpc_yogurt_B4	Contig	SAMN32062177	
GCF_026967195.1	Lacticaseibacillus paracasei	Lpc_yogurt_B5	Contig	SAMN32062178	
GCF_040785095.1	Lacticaseibacillus paracasei	gbc_f	Scaffold	SAMN41082101	
GCF_027692645.1	Lacticaseibacillus paracasei	OF39-24pH5A	Scaffold	SAMN31809723	
GCF_024329325.1	Lacticaseibacillus paracasei	Kef-w20	Contig	SAMN18720973	
GCF_024329345.1	Lacticaseibacillus paracasei	Kef-w19	Contig	SAMN18720972	
GCF_005049135.1	Lacticaseibacillus paracasei	S49	Contig	SAMN11456259	
GCF_026967295.1	Lacticaseibacillus paracasei	Lpc_yogurt_B2	Contig	SAMN32062175	
GCF_025190685.1	Lacticaseibacillus paracasei	CIRM-BIA 1445	Contig	SAMN10365442	
GCF_000309665.1	Lacticaseibacillus paracasei	M36	Contig	SAMN02472000	
GCF_036281375.1	Lacticaseibacillus paracasei	CUL07A	Contig	SAMN09708453	
GCF_057379185.1	Lacticaseibacillus paracasei	UNCP-H3M17	Contig	SAMN53737805	
GCF_030540905.1	Lacticaseibacillus paracasei	11w	Scaffold	SAMN36403201	
GCF_024329605.1	Lacticaseibacillus paracasei	Kef-w7	Contig	SAMN18720960	
GCF_054031595.1	Lacticaseibacillus paracasei	134	Contig	SAMN52399119	
GCF_041679805.1	Lacticaseibacillus paracasei	APY	Contig	SAMN41163063	
GCF_018917305.1	Lacticaseibacillus paracasei	N53	Contig	SAMN19374054	
GCF_057377445.1	Lacticaseibacillus paracasei	UNCP-H6M14	Contig	SAMN53737911	
GCF_039615445.1	Lacticaseibacillus paracasei	NKM 5.4	Contig	SAMN41068727	
GCF_027670205.1	Lacticaseibacillus paracasei	AM33-7BH	Scaffold	SAMN31809133	
GCF_039733365.1	Lacticaseibacillus paracasei	1001270st1_A8_RTP21400_201112	Scaffold	SAMN41372069	
GCF_978042465.1	Lacticaseibacillus paracasei		Contig	SAMEA120937431	
GCF_027666625.1	Lacticaseibacillus paracasei	AM74-01pH10A	Scaffold	SAMN31809270	
GCF_058598285.1	Lacticaseibacillus paracasei	UTMB4	Scaffold	SAMN57421012	
GCF_052692235.1	Lacticaseibacillus paracasei	H70	Contig	SAMN48448762	
GCF_024622515.1	Lacticaseibacillus paracasei	DSM 28675	Contig	SAMN29593134	
GCF_057379425.1	Lacticaseibacillus paracasei	UNCP-H6M08	Contig	SAMN53737895	
GCF_027682705.1	Lacticaseibacillus paracasei	AF51-2b10A	Scaffold	SAMN31807969	
GCF_031630235.1	Lacticaseibacillus paracasei	69Bis	Contig	SAMN30173654	
GCF_025190605.1	Lacticaseibacillus paracasei	CIRM-BIA 279	Contig	SAMN10365451	
GCF_003712625.1	Lacticaseibacillus paracasei	FAM19404	Contig	SAMN04088880	
GCF_027692565.1	Lacticaseibacillus paracasei	OF39-26pH5A	Scaffold	SAMN31809724	
GCF_000949485.1	Lacticaseibacillus paracasei	DSM 20207	Contig	SAMN03323315	
GCF_015595005.1	Lacticaseibacillus paracasei	1001270B_150601_G2	Scaffold	SAMN15533021	
GCF_027659165.1	Lacticaseibacillus paracasei	AM104-60	Scaffold	SAMN31808696	
GCF_039751275.1	Lacticaseibacillus paracasei	1001270st1_E3_RTP21400_201112	Scaffold	SAMN41372070	
GCF_027693445.1	Lacticaseibacillus paracasei	OF26-11pH5A	Scaffold	SAMN31809684	
GCF_003434205.1	Lacticaseibacillus paracasei	AM33-2AC	Scaffold	SAMN09736452	
GCF_028320385.1	Lacticaseibacillus paracasei	1001270st1_F8_1001270H_150608	Scaffold	SAMN31322638	
GCF_025190495.1	Lacticaseibacillus paracasei	CIRM-BIA 288	Contig	SAMN10365452	
GCF_016890245.1	Lacticaseibacillus paracasei	YT170	Scaffold	SAMN17818118	
GCF_964262845.1	Lacticaseibacillus paracasei		Contig	SAMEA115992608	
GCF_030215365.1	Lacticaseibacillus paracasei	UMB7433B	Contig	SAMN34998777	
GCF_030939115.1	Lacticaseibacillus paracasei	AV 2-1	Contig	SAMN36329521	
GCF_036430865.1	Lacticaseibacillus paracasei	FI11579	Contig	SAMN33193087	
GCF_002115655.1	Lacticaseibacillus paracasei	DmW_181	Contig	SAMN06767179	
GCF_026797475.1	Lacticaseibacillus paracasei	CBP-1042	Scaffold	SAMN27675067	
